Symbol,Timestamp,Open,High,Low,Close,Volume,VWAP
GOOGL,2023-05-22 04:00:00 UTC,122.94,126.43,122.74,125.05,38082347,125.200926
GOOGL,2023-05-23 04:00:00 UTC,124.16,124.625,122.2104,122.56,34528502,123.335848
GOOGL,2023-05-24 04:00:00 UTC,121.12,121.91,119.86,120.9,38059967,120.812331
GOOGL,2023-05-25 04:00:00 UTC,124.52,125.32,121.96,123.48,45944113,123.627168
GOOGL,2023-05-26 04:00:00 UTC,123.17,125.26,122.45,124.61,39732055,124.463982
GOOGL,2023-05-30 04:00:00 UTC,125.64,125.66,122,123.67,38251775,123.572852
GOOGL,2023-05-31 04:00:00 UTC,122.75,124.0601,122.5,122.87,37724404,123.048613
GOOGL,2023-06-01 04:00:00 UTC,122.815,124.42,122.62,123.72,34779209,123.424751
GOOGL,2023-06-02 04:00:00 UTC,123.99,126.15,123.76,124.67,35480359,124.8248
GOOGL,2023-06-05 04:00:00 UTC,124.01,127.43,123.84,126.01,32311884,126.281064
GOOGL,2023-06-06 04:00:00 UTC,126.01,128.29,125.36,127.31,26639609,127.240917
GOOGL,2023-06-07 04:00:00 UTC,126.97,129.04,122.12,122.5,52543561,123.707701
GOOGL,2023-06-08 04:00:00 UTC,122.225,123.225,121.24,122.14,29394419,122.243819
GOOGL,2023-06-09 04:00:00 UTC,122.25,123.755,121.91,122.23,23777373,122.68566
GOOGL,2023-06-12 04:00:00 UTC,122.785,124.05,121.66,123.64,32420659,123.061009
GOOGL,2023-06-13 04:00:00 UTC,124.98,125.16,123.18,123.83,22279562,123.996688
GOOGL,2023-06-14 04:00:00 UTC,123.1,124.05,121.45,123.67,30584062,123.177325
GOOGL,2023-06-15 04:00:00 UTC,123.14,125.46,122.4,125.09,35237932,124.349578
GOOGL,2023-06-16 04:00:00 UTC,125.93,126.108,123.28,123.53,45534669,124.3576
GOOGL,2023-06-20 04:00:00 UTC,122.93,124.57,122.14,123.1,26107183,123.113607
GOOGL,2023-06-21 04:00:00 UTC,122.4,122.66,120.1,120.55,30310276,120.865188
GOOGL,2023-06-22 04:00:00 UTC,120,123.24,118.83,123.15,26960997,121.473318
GOOGL,2023-06-23 04:00:00 UTC,121.38,122.7879,121.06,122.34,35806914,122.176758
GOOGL,2023-06-26 04:00:00 UTC,120.76,122,118.265,118.34,33999676,119.5226
GOOGL,2023-06-27 04:00:00 UTC,117.08,119.08,116.1,118.33,39545130,117.810924
GOOGL,2023-06-28 04:00:00 UTC,117.09,120.39,116.85,120.18,27094454,119.404969
GOOGL,2023-06-29 04:00:00 UTC,119.24,120.06,118.295,119.1,24090902,119.044562
GOOGL,2023-06-30 04:00:00 UTC,120.17,121.08,119.7,119.7,28614491,120.205765
GOOGL,2023-07-03 04:00:00 UTC,119.24,120.19,118.8182,119.9,14407579,119.502358
GOOGL,2023-07-05 04:00:00 UTC,119.24,122.61,119.23,121.75,27592126,121.67468
GOOGL,2023-07-06 04:00:00 UTC,119.795,120.3,118.4,120.11,24783978,119.591012
GOOGL,2023-07-07 04:00:00 UTC,120.1,121.05,119.4,119.48,21709550,120.102107
GOOGL,2023-07-10 04:00:00 UTC,118.3,118.305,116.135,116.45,35321570,116.83079
GOOGL,2023-07-11 04:00:00 UTC,116.29,117.71,115.35,117.14,23081505,116.895298
GOOGL,2023-07-12 04:00:00 UTC,118.8,120.33,118.4145,118.93,30418830,119.187346
GOOGL,2023-07-13 04:00:00 UTC,120.93,124.83,120.45,124.54,44315823,123.752938
GOOGL,2023-07-14 04:00:00 UTC,124.8,126.775,123.49,125.42,33283077,125.455992
GOOGL,2023-07-17 04:00:00 UTC,125.94,127.0999,124.195,124.65,25717307,125.039154
GOOGL,2023-07-18 04:00:00 UTC,124.6,124.68,122.96,123.76,26229737,123.638466
GOOGL,2023-07-19 04:00:00 UTC,124.6,125.18,121.8,122.03,37241584,122.93481
GOOGL,2023-07-20 04:00:00 UTC,121.42,124.09,118.22,119.2,37925424,120.319255
GOOGL,2023-07-21 04:00:00 UTC,120.62,120.99,118.73,120.02,72866901,119.941941
GOOGL,2023-07-24 04:00:00 UTC,121.66,123,120.98,121.53,29726497,121.791134
GOOGL,2023-07-25 04:00:00 UTC,121.36,123.145,121.02,122.21,52731094,122.060865
GOOGL,2023-07-26 04:00:00 UTC,130.07,130.98,128.32,129.27,61698757,129.673698
GOOGL,2023-07-27 04:00:00 UTC,131.67,133.24,128.79,129.4,44954684,131.199778
GOOGL,2023-07-28 04:00:00 UTC,130.78,133.74,130.57,132.58,36591160,132.678378
GOOGL,2023-07-31 04:00:00 UTC,132.73,133.525,131.775,132.72,28067568,132.556054
GOOGL,2023-08-01 04:00:00 UTC,130.775,132.63,130.68,131.55,23314974,131.75513
GOOGL,2023-08-02 04:00:00 UTC,129.45,130.09,127.56,128.38,26283426,128.649648
GOOGL,2023-08-03 04:00:00 UTC,127.97,129.385,127.42,128.45,20184085,128.539187
GOOGL,2023-08-04 04:00:00 UTC,129.28,131.51,127.91,128.11,26147166,129.32828
GOOGL,2023-08-07 04:00:00 UTC,129.16,131.61,129.02,131.53,22749897,130.758771
GOOGL,2023-08-08 04:00:00 UTC,130.62,131.51,129.545,131.4,23537840,130.898176
GOOGL,2023-08-09 04:00:00 UTC,131.66,132.04,129,129.66,24919038,130.330577
GOOGL,2023-08-10 04:00:00 UTC,131.32,132.05,129.45,129.69,20862623,130.466362
GOOGL,2023-08-11 04:00:00 UTC,128.66,129.93,128.17,129.56,19591080,129.213639
GOOGL,2023-08-14 04:00:00 UTC,129.39,131.37,128.96,131.33,24711805,130.814049
GOOGL,2023-08-15 04:00:00 UTC,131.1,131.42,129.28,129.78,19773715,130.157957
GOOGL,2023-08-16 04:00:00 UTC,128.7,130.2809,127.865,128.7,25222592,128.817919
GOOGL,2023-08-17 04:00:00 UTC,129.8,131.99,129.29,129.92,33758887,130.363779
GOOGL,2023-08-18 04:00:00 UTC,128.51,129.25,126.3824,127.46,30504770,127.396146
